iso3,country,hdicode,hdi_2023,anesthesiology
AFG,Afghanistan,Low,0.496,49
ALB,Albania,Very High,0.81,63
DZA,Algeria,High,0.763,103
AND,Andorra,Very High,0.913,4
AGO,Angola,Medium,0.616,11
ATG,Antigua and Barbuda,Very High,0.851,10
ARG,Argentina,Very High,0.865,1289
ARM,Armenia,Very High,0.811,65
AUS,Australia,Very High,0.958,13562
AUT,Austria,Very High,0.93,4832
AZE,Azerbaijan,High,0.789,85
BHS,Bahamas,Very High,0.82,7
BHR,Bahrain,Very High,0.899,142
BGD,Bangladesh,Medium,0.685,261
BRB,Barbados,Very High,0.811,44
BLR,Belarus,Very High,0.824,152
BEL,Belgium,Very High,0.951,6934
BLZ,Belize,High,0.721,7
BEN,Benin,Low,0.515,64
BTN,Bhutan,Medium,0.698,30
BOL,Bolivia,High,0.733,47
BIH,Bosnia and Herzegovina,Very High,0.804,217
BWA,Botswana,High,0.731,42
BRA,Brazil,High,0.786,9130
BRN,Brunei,Very High,0.837,28
BGR,Bulgaria,Very High,0.845,686
BFA,Burkina Faso,Low,0.459,61
BDI,Burundi,Low,0.439,19
CPV,Cabo Verde,Medium,0.668,0
KHM,Cambodia,Medium,0.606,26
CMR,Cameroon,Medium,0.588,137
CAN,Canada,Very High,0.939,21792
CAF,Central African Republic,Low,0.414,7
TCD,Chad,Low,0.416,3
CHL,Chile,Very High,0.878,1284
CHN,China,High,0.797,38991
COL,Colombia,High,0.788,1385
COM,Comoros,Medium,0.603,4
COG,Congo,Medium,0.649,103
CRI,Costa Rica,Very High,0.833,84
HRV,Croatia,Very High,0.889,1266
CUB,Cuba,High,0.762,317
CYP,Cyprus,Very High,0.913,171
CZE,Czech Republic,Very High,0.915,2238
COD,Democratic Republic of the Congo,Low,0.522,0
DNK,Denmark,Very High,0.962,6416
DJI,Djibouti,Low,0.513,8
DMA,Dominica,High,0.761,7
DOM,Dominican Republic,High,0.776,29
ECU,Ecuador,High,0.777,120
EGY,Egypt,High,0.754,4866
SLV,El Salvador,Medium,0.678,16
GNQ,Equatorial Guinea,Medium,0.674,2
ERI,Eritrea,Low,0.503,9
EST,Estonia,Very High,0.905,94
ETH,Ethiopia,Low,0.497,732
FJI,Fiji,High,0.731,26
FIN,Finland,Very High,0.948,3939
FRA,France,Very High,0.92,23674
GAB,Gabon,High,0.733,18
GMB,Gambia,Low,0.524,21
GEO,Georgia,Very High,0.844,171
DEU,Germany,Very High,0.959,32601
GHA,Ghana,Medium,0.628,227
GRC,Greece,Very High,0.908,3058
GRD,Grenada,High,0.791,81
GTM,Guatemala,Medium,0.662,38
GIN,Guinea,Low,0.5,63
GNB,Guinea-Bissau,Low,0.514,4
GUY,Guyana,High,0.776,14
HTI,Haiti,Medium,0.554,26
HND,Honduras,Medium,0.645,28
HKG,Hong Kong S.A.R.,Very High,0.955,0
HUN,Hungary,Very High,0.87,1708
ISL,Iceland,Very High,0.972,162
IND,India,Medium,0.685,23465
IDN,Indonesia,High,0.728,1132
IRN,Iran,High,0.799,6433
IRQ,Iraq,Medium,0.695,819
IRL,Ireland,Very High,0.949,2988
ISR,Israel,Very High,0.919,4482
ITA,Italy,Very High,0.915,21122
