iso3,country,hdicode,hdi_2022,anesthesiology
AFG,Afghanistan,Low,0.462,
AGO,Angola,Medium,0.591,
ALB,Albania,High,0.789,
AND,Andorra,Very High,0.884,
ARE,United Arab Emirates,Very High,0.937,
ARG,Argentina,Very High,0.849,
ARM,Armenia,High,0.786,
ATG,Antigua and Barbuda,Very High,0.826,
AUS,Australia,Very High,0.946,
AUT,Austria,Very High,0.926,
AZE,Azerbaijan,High,0.76,
BDI,Burundi,Low,0.42,
BEL,Belgium,Very High,0.942,
BEN,Benin,Low,0.504,
BFA,Burkina Faso,Low,0.438,
BGD,Bangladesh,Medium,0.67,
BGR,Bulgaria,High,0.799,
BHR,Bahrain,Very High,0.888,
BHS,Bahamas,Very High,0.82,
BIH,Bosnia and Herzegovina,High,0.779,
BLR,Belarus,Very High,0.801,
BLZ,Belize,High,0.7,
BOL,Bolivia,Medium,0.698,
BRA,Brazil,High,0.76,
BRB,Barbados,Very High,0.809,
BRN,Brunei,Very High,0.823,
BTN,Bhutan,Medium,0.681,
BWA,Botswana,High,0.708,
CAF,Central African Republic,Low,0.387,
CAN,Canada,Very High,0.935,
CHE,Switzerland,Very High,0.967,
CHL,Chile,Very High,0.86,
CHN,China,High,0.788,
CIV,Ivory Coast,Low,0.534,
CMR,Cameroon,Medium,0.587,
COD,Democratic Republic of the Congo,Low,0.481,
COG,Congo,Medium,0.593,
COL,Colombia,High,0.758,
COM,Comoros,Medium,0.586,
CPV,Cabo Verde,Medium,0.661,
CRI,Costa Rica,Very High,0.806,
CUB,Cuba,High,0.764,
CYP,Cyprus,Very High,0.907,
CZE,Czech Republic,Very High,0.895,
DEU,Germany,Very High,0.95,
DJI,Djibouti,Low,0.515,
DMA,Dominica,High,0.74,
DNK,Denmark,Very High,0.952,
DOM,Dominican Republic,High,0.766,
DZA,Algeria,High,0.745,
ECU,Ecuador,High,0.765,
EGY,Egypt,High,0.728,
ERI,Eritrea,Low,0.493,
ESP,Spain,Very High,0.911,
EST,Estonia,Very High,0.899,
ETH,Ethiopia,Low,0.492,
FIN,Finland,Very High,0.942,
FJI,Fiji,High,0.729,
FRA,France,Very High,0.91,
FSM,Micronesia,Medium,0.634,
GAB,Gabon,Medium,0.693,
GBR,United Kingdom,Very High,0.94,
GEO,Georgia,Very High,0.814,
GHA,Ghana,Medium,0.602,
GIN,Guinea,Low,0.471,
GMB,Gambia,Low,0.495,
GNB,Guinea-Bissau,Low,0.483,
GNQ,Equatorial Guinea,Medium,0.65,
GRC,Greece,Very High,0.893,
GRD,Grenada,High,0.793,
GTM,Guatemala,Medium,0.629,
GUY,Guyana,High,0.742,
HKG,Hong Kong S.A.R.,Very High,0.956,
HND,Honduras,Medium,0.624,
HRV,Croatia,Very High,0.878,
HTI,Haiti,Medium,0.552,
HUN,Hungary,Very High,0.851,
IDN,Indonesia,High,0.713,
IND,India,Medium,0.644,
IRL,Ireland,Very High,0.95,
IRN,Iran,High,0.78,
IRQ,Iraq,Medium,0.673,
ISL,Iceland,Very High,0.959,
ISR,Israel,Very High,0.915,
ITA,Italy,Very High,0.906,
JAM,Jamaica,High,0.706,
JOR,Jordan,High,0.736,
JPN,Japan,Very High,0.92,
KAZ,Kazakhstan,Very High,0.802,
KEN,Kenya,Medium,0.601,
KGZ,Kyrgyzstan,High,0.701,
KHM,Cambodia,Medium,0.6,
KIR,Kiribati,Medium,0.628,
KNA,Saint Kitts and Nevis,Very High,0.838,
KOR,South Korea,Very High,0.929,
KWT,Kuwait,Very High,0.847,
LAO,Laos,Medium,0.62,
LBN,Lebanon,High,0.723,
LBR,Liberia,Low,0.487,
LBY,Libya,High,0.746,
LCA,Saint Lucia,High,0.725,
LIE,Liechtenstein,Very High,0.942,
LKA,Sri Lanka,High,0.78,
LSO,Lesotho,Low,0.521,
LTU,Lithuania,Very High,0.879,
LUX,Luxembourg,Very High,0.927,
LVA,Latvia,Very High,0.879,
MAR,Morocco,Medium,0.698,
MCO,Monaco,,NA,
MDA,Moldova,High,0.763,
MDG,Madagascar,Low,0.487,
MDV,Maldives,High,0.762,
MEX,Mexico,High,0.781,
MHL,Marshall Islands,High,0.731,
MKD,North Macedonia,High,0.765,
MLI,Mali,Low,0.41,
MLT,Malta,Very High,0.915,
MMR,Myanmar,Medium,0.608,
MNE,Montenegro,Very High,0.844,
MNG,Mongolia,High,0.741,
MOZ,Mozambique,Low,0.461,
MRT,Mauritania,Low,0.54,
MUS,Mauritius,High,0.796,
MWI,Malawi,Low,0.508,
MYS,Malaysia,Very High,0.807,
NAM,Namibia,Medium,0.61,
NER,Niger,Low,0.394,
NGA,Nigeria,Low,0.548,
NIC,Nicaragua,Medium,0.669,
NLD,Netherlands,Very High,0.946,
NOR,Norway,Very High,0.966,
NPL,Nepal,Medium,0.601,
NRU,Nauru,Medium,0.696,
NZL,New Zealand,Very High,0.939,
OMN,Oman,Very High,0.819,
PAK,Pakistan,Low,0.54,
PAN,Panama,Very High,0.82,
PER,Peru,High,0.762,
PHL,Philippines,High,0.71,
PLW,Palau,High,0.797,
PNG,Papua New Guinea,Medium,0.568,
POL,Poland,Very High,0.881,
PRK,North Korea,,NA,
PRT,Portugal,Very High,0.874,
PRY,Paraguay,High,0.731,
PSE,Palestine,High,0.716,
QAT,Qatar,Very High,0.875,
ROU,Romania,Very High,0.827,
RUS,Russia,Very High,0.821,
RWA,Rwanda,Low,0.548,
SAU,Saudi Arabia,Very High,0.875,
SDN,Sudan,Low,0.516,
SEN,Senegal,Low,0.517,
SGP,Singapore,Very High,0.949,
SLB,Solomon Islands,Medium,0.562,
SLE,Sierra Leone,Low,0.458,
SLV,El Salvador,Medium,0.674,
SMR,San Marino,Very High,0.867,
SOM,Somalia,Low,0.38,
SRB,Serbia,Very High,0.805,
SSD,South Sudan,Low,0.381,
STP,Sao Tome and Principe,Medium,0.613,
SUR,Suriname,Medium,0.69,
SVK,Slovakia,Very High,0.855,
SVN,Slovenia,Very High,0.926,
SWE,Sweden,Very High,0.952,
SWZ,Swaziland,Medium,0.61,
SYC,Seychelles,Very High,0.802,
SYR,Syria,Medium,0.557,
TCD,Chad,Low,0.394,
TGO,Togo,Low,0.547,
THA,Thailand,Very High,0.803,
TJK,Tajikistan,Medium,0.679,
TKM,Turkmenistan,High,0.744,
TLS,Timor-Leste,Medium,0.566,
TON,Tonga,High,0.739,
TTO,Trinidad and Tobago,Very High,0.814,
TUN,Tunisia,High,0.732,
TUR,Turkey,Very High,0.855,
TUV,Tuvalu,Medium,0.653,
TZA,Tanzania,Low,0.532,
UGA,Uganda,Medium,0.55,
UKR,Ukraine,High,0.734,
URY,Uruguay,Very High,0.83,
USA,United States of America,Very High,0.927,
UZB,Uzbekistan,High,0.727,
VCT,Saint Vincent and the Grenadines,High,0.772,
VEN,Venezuela,Medium,0.699,
VNM,Vietnam,High,0.726,
VUT,Vanuatu,Medium,0.614,
WSM,Samoa,High,0.702,
YEM,Yemen,Low,0.424,
ZAF,South Africa,High,0.717,
ZMB,Zambia,Medium,0.569,
ZWE,Zimbabwe,Medium,0.55,
