Country,ISO3
Australia,AUS
Austria,AUT
Belgium,BEL
Canada,CAN
Chile,CHL
Colombia,COL
Costa Rica,CRI
Czech Republic,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Israel,ISR
Italy,ITA
Japan,JPN
South Korea,KOR
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Mexico,MEX
Netherlands,NLD
New Zealand,NZL
Norway,NOR
Poland,POL
Portugal,PRT
Slovak Republic,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
United Kingdom,GBR
United States,USA
